Date,Startup_Name,Industry,SubVertical,City,Investors,InvestmentType,Amount_usd,sector
09/10/2015,Zeppery,"Food Ordering & Delivery App",nan,Delhi,"Suyash Sharma","Seed Funding",77000,"Food and Beverages"
12/10/2015,Zify,"Ride Sharing platform",nan,Hyderabad,"Sean O\\xe2\\x80\\x99Sullivan & Others","Seed Funding",190000,Technology
12/10/2015,Gridle,"Cloud Based Collaboration platform",nan,Ahemdabad,LetsVenture,"Seed Funding",100000,Technology
13/10/2015,Voodoo,"Mobile Only Shopping Assistant",nan,Delhi,"SAIF Partners","Seed Funding",1000000,Technology
13/10/2015,Lookup,"Mobile Messaging Assistant App",nan,Bangalore,"Khosla Impact, Biz Stone, Catamaran Ventures, Global Founders Capital, European investment fund","Series A",2500000,Technology
14/10/2015,AskMyGift,"Personalized Wish List creator app",nan,Noida,"Turning Ideas","Seed Funding",50000,Technology
14/10/2015,Zappfresh,"Raw Meat & Ready to eat food etailer","Online Raw Meat E tailer",Gurugram,"Undisclosed Investors","Seed Funding",77000,"Food and Beverages"
17/10/2015,S-CubeFuturetech,"Structural & Civil Engg Service Automation",nan,Mumbai,"Parampara Capital","Series A",1000000,Technology
19/10/2015,CitrusPayment,"Payments Solution platform",nan,Mumbai,"Sequoia Capital, Ascent Capital, eContext Asia, Beenos Asia","Series C",25000000,Technology
19/10/2015,Holidify,"Travel Destination Discovery platform",nan,Delhi,"Aarti Group","Seed Funding",100000,Hospitality
20/10/2015,Opinio,"Last Mile Delivery Service",nan,Bangalore,"Delhivery, Sands Capital and Accel Partners","Series A",7000000,E-Commerce
20/10/2015,AttuneTechnologies,"Healthcare IT Solutions & services",nan,Chennai,"Qualcomm Venture, Norwest Venture Partners","Series B",10000000,Healthcare
21/10/2015,AgentDesks,"Real Estate Mobile CRM",nan,"New York/ India","Sierra Ventures, Cota Capital, Vegas Tech Fund","Seed Funding",2950000,"Real Estate"
21/10/2015,WhiteOwlBrewery,"Micro Brewery",nan,Mumbai,"Arihant Patni, RAAY Global Investments","Series A",1530000,"Food and Beverages"
21/10/2015,MealHopper,"Home Made Food Marketplace",nan,Gurugram,"Alok Bajpai, Rajnish Kumar, Amit Dey","Seed Funding",100000,"Food and Beverages"
21/10/2015,Zenify,"residential rental management platform","Home rental Discovery & Booking Portal",Bangalore,"Atul Jalan, Shrikanth & Bharath","Seed Funding",640000,Technology
23/10/2015,Medd,"Personal Diagnostic Mobile App",nan,Mumbai,"Group of Angel investors","Bridge Round",150000,Technology
23/10/2015,LeapingCaravan,"Online food ordering & Delivery service",nan,Gurugram,"Group of Angel investors","Seed Funding",150000,"Food and Beverages"
23/10/2015,Frsh,"Online food ordering & Delivery service",nan,Gurugram,"Mumbai Angels, Mayank Bhangdia, Kae Capital","Bridge Round",1000000,"Food and Beverages"
23/10/2015,QikStay,"Hotel Aggregator & booking platform",nan,Delhi,"ID Enablers Pvt Ltd","Seed Funding",250000,Hospitality
26/10/2015,Parcelled,"Online Logistics Platform",nan,Bangalore,Delhivery,Equity,5000000,"Transportation and Logistics"
26/10/2015,AlmaMapper,"Online Student & Campus Social Networking platform",nan,Ahemdabad,"Oswal Techno Ventures LLP","Seed Funding",400000,Technology
26/10/2015,FlexingIt,"Professionals & Project Search Marketplace",nan,Delhi,"undisclosed private investors","Seed Funding",500000,E-Commerce
26/10/2015,Netmeds,"Online Pharmacy","Online Pharmacy Chain",Chennai,"OrbiMed, Pradip Dadha Group","Series A",50000000,Healthcare
26/10/2015,Razorpay,"Online Payment Gateway","Payment Gateway",Jaipur,"Tiger Global Management, Matrix Partners","Series A",9000000,Finance
27/10/2015,Happitoo,"Location based Nightlife recommendation Platform",nan,Mumbai,"Unnamed investor","Seed Funding",77000,Technology
27/10/2015,Care24,"Professional Health Services Platform","Professional Health Services Platform",Mumbai,"India Quotient","Seed Funding",350000,Healthcare
27/10/2015,Roadrunnr,"Hyperlocal Logistics Service",nan,Bangalore,"Sequoia Capital, Nexus Venture Partners","Series B",10000000,"Transportation and Logistics"
28/10/2015,ORIGALeasing,"Asset Financing platform",nan,Mumbai,"ah! Ventures, 500 Startups & Other HNIs","Seed Funding",1100000,Finance
28/10/2015,Smartivity,"Virtual Reality activity based learning platform","Designer Of Toys and Learning Projects For Kids",Delhi,"S Chand and Co Pvt Ltd","Seed Funding",200000,Technology
29/10/2015,ZopHop,"Public Commute helper App",nan,Mumbai,"Amit Singhal, PK Gulati & others","Seed Funding",450000,Technology
30/10/2015,LiftO,"Ridesharing Mobile app",nan,Mumbai,"Rajesh Bhatia, Dheeraj Mehta & Others","Seed Funding",130000,"Transportation and Logistics"
30/10/2015,TinyOwl,"Food Discovery & Delivery Mobile app",nan,Mumbai,"Sequoia Capital, Matrix Partners","Series B",7500000,"Food and Beverages"
30/10/2015,Toppr,"Competitive exam learning platform","E learning",Mumbai,"InnoVen Capital","Series C",2000000,Education
30/10/2015,Kleeto,"Document Digitization platform",nan,Gurugram,GREX,"Pre Series A",230000,Technology
30/10/2015,BeaconsTalk,"proximity marketing & Mobile Advertising platform","contextual mobile advertising",Mumbai,"Puneet Bhatia & others","Seed Funding",80000,"Advertisement and Marketing"
31/10/2015,Jugnoo,"Autorickshaw Aggregator & Booking platform","On demand Delivery & Logistics platform",Chandigarh,Paytm,"Series B",10000000,Automotive
01/09/2015,TOFlo,"FinTech Startup Incubation platform",nan,Mumbai,"Tania Johny Palathinkal","Seed Funding",100000,Finance
01/09/2015,Stylecracker,"Personalized Styling platform",nan,Mumbai,"Group of HNI investors","Series A",1000000,Technology
01/09/2015,Luxuryhues,"Luxury goods Shopping Platform",nan,Gurugram,"Reliance Capital","Series A",900000,Technology
02/09/2015,Zivame,"Online Lingerie Marketplace",nan,Bangalore,"Zodius Technology Fund, Khazanah Nasional Berhad","Series C",40000000,E-Commerce
02/09/2015,CapillaryTech,"Cloud software solutions",nan,Delhi,"Warburg Pincus, Sequoia Capital, Norwest Venture Partners","Series D",45000000,Technology
03/09/2015,Jobspire,"Job Search Platform",nan,Bangalore,"Purvi Capital","Seed Funding",260000,Technology
03/09/2015,VistaarFinance,"Small Business Financing (NBFC)",nan,Bangalore,"WestBridge Capital, Omidyar Network, Elevar Equity, Saama Capital, Lok Capital",Equity,40000000,Finance
04/09/2015,Clapsnslaps,"Online Movie Review Platform",nan,Mumbai,"R M Picture Company Pvt. Ltd.","Seed Funding",150000,Technology
04/09/2015,Blubox,"ECommerce Brands  Full Service Agency",nan,Mumbai,"Ashish Jhalani","Seed Funding",100000,E-Commerce
04/09/2015,RoomCentral,"Cloud based Hotel Booking Platform",nan,Bangalore,"Karanpal Singh","Seed Funding",2000000,Hospitality
07/09/2015,YouthKiAwaaz,"Community Driven News/Views Platform",nan,Delhi,"Raghav Bahl, Ritu Kapur","Seed Funding",600000,Technology
07/09/2015,Prozo,"Study Material Marketplace","Study Material Marketplace",Delhi,"Nalin Jain, Shomil Pant, Dinesh Kundu & others","Seed Funding",205000,E-Commerce
07/09/2015,Zomato,"Restaurant Ratings & Reviews platform","Online Food Delivery Platform",Gurugram,"Temasek, Vy Capital","Late Stage",60000000,"Food and Beverages"
07/09/2015,SahayogDairy,"Dairy Based Product Manufacturer",nan,Bhopal,"Acumen Fund","Series A",1800000,"Food and Beverages"
08/09/2015,MockBank,"Government Test Preparation platform",nan,Bangalore,"Blume Ventures","Seed Funding",400000,Education
10/09/2015,OnlineTyari,"Multilingual Test Preparation Platform",nan,Gurugram,"500 Startups, TV Mohandas Pai, Tandem Capital, Vikram Chachra, Aloke Bajpai","Series A",770000,Education
10/09/2015,IndustryBuying,"Industrial Tools Marketplace","B2B Industrial Goods Marketplace",Delhi,"Kalaari Capital, SAIF Partners, Beenextan investment fund","Series B",9200000,E-Commerce
10/09/2015,The/NudgeFoundation,"Non Profit Organization to alleviate poverty",nan,Bangalore,"Nanadan Nilekani, InMobi, Paytm","Seed Funding",315000,Healthcare
11/09/2015,FitMeIn,"Gym & Fitness Studios Subscription platform",nan,Delhi,"Green House Ventures","Seed Funding",100000,Healthcare
11/09/2015,Zapyle,"pre used apparel shopping mobile app",nan,Bangalore,N/A,"Seed Funding",1000000,Fashion
12/09/2015,CredR,"Used Vehicles Marketplace",nan,Mumbai,"Eight Road Ventures","Series A",15000000,E-Commerce
14/09/2015,CanvasFlip,"Mobile App testing platform",nan,Hyderabad,"Bessemer Venture Partners","Seed Funding",1200000,Technology
14/09/2015,Shadowfax,"Hyperlocal Delivery Services",nan,Gurugram,"Eight Roads Ventures","Series A",9000000,E-Commerce
14/09/2015,UELifeSciences,"Early Cancer Detection Solutions","Mobile Health Technology Solutions",USA/India,"Aarin Capital, Unitus Seed Fund","Series A",3000000,Healthcare
14/09/2015,OlaCabs,"Cab rental Mobile app",Cabs,Bangalore,"Falcon Edge Capital, NY based Hedge Fund, Tiger Global, Softbank","Late Stage",225000000,"Transportation and Logistics"
15/09/2015,Coverfox,"Online Insurance Distribution Platform","Online Insurance Aggregator",Mumbai,"Cataraman Ventures","Part of $12M Series B funding",2000000,Finance
15/09/2015,MoEngage,"Mobile Marketing Automation Platform",nan,Bangalore,"Helion Venture Partners, Exfinity Ventures","Series A",4250000,"Advertisement and Marketing"
15/09/2015,TeaTrails,"Chain of Tea Cafs",nan,Mumbai,"Anil Matai, Vikram Tandon, Shyam Sundar R & others","Seed Funding",1000000,"Food and Beverages"
15/09/2015,RoomonCall,"Branded Budget Hotel Marketplace","Budget hotel aggregator",Noida,"Payal Syal","Seed Funding",300000,Hospitality
16/09/2015,ChaiPoint,"Food Subscription platform",nan,Bangalore,"Eight Roads Ventures","Series A",10000000,"Food and Beverages"
16/09/2015,WedmeGood,"Wedding Planning Platform",nan,Gurugram,"Indian Angel Network","Seed Funding",410000,Technology
16/09/2015,XSTOK,"B2B Mobile Auction Marketplace",nan,Mumbai,"Oliphans Capital","Seed Funding",450000,E-Commerce
17/09/2015,YepMe,"Private label Fashion eTailer","Private Label Fashion etailer",Gurugram,"Khazanah Nasional Berhad, Helion Venture Partners","Series D",75000000,Fashion
17/09/2015,Bueno,"Online Food ordering & delivery",nan,Gurugram,"High Networth Individuals (No details)","Seed Funding",600000,"Food and Beverages"
18/09/2015,Plabro,"Real Estate Broker Platform App",nan,Delhi,"Sachin Bansal & Binny Bansal, Sol Primero, Outbox Ventures, Sangram Singh","Seed Funding",350000,"Real Estate"
18/09/2015,CureJoy,"Online Health & Wellness platform","Online Alternative health community platform",Bangalore,"Accel Partners, Subrata Mitra, Larry Braitman, Venk Krishna","Pre Series A",1150000,Healthcare
18/09/2015,BristonTechnomach,"Internet of Things platform",nan,Delhi,Undisclosed,"Seed Funding",150000,Technology
18/09/2015,LabStreet,"Diagnostic Labs aggregator platform",nan,Gurugram,"Multiple investors","Seed Funding",150000,Technology
21/09/2015,PorteaMedical,"Home Medical Care Services",nan,Bangalore,"Accel Partners, International Finance Corporation (IFC), Qualcomm Ventures, Ventureast",Equity,37500000,Healthcare
21/09/2015,NeotradeAnalytics,"Real Time stock data platform",nan,Bangalore,Rainmatter,"Seed Funding",235000,Technology
21/09/2015,LafaLafa,"coupons and cashback aggregator app",nan,Mumbai,"500 Startups","thru Accelerator",125000,Technology
22/09/2015,Bestdealfinance,"Financial Services Portal",nan,Mumbai,"Kalaari Capital, YourNest Angel Fund","Series A",3000000,Finance
22/09/2015,VirtualLogic,"virtual reality, 3d simulation and stereoscopic products",nan,Bangalore,"Swarnim Multiventures","Pre Series A",800000,Technology
22/09/2015,Furdo,"Online Interior Designing platform",nan,Bangalore,"Bhavdeep Reddy","Seed Funding",400000,Technology
22/09/2015,LogiNext,"End to end Logistics platform",nan,Mumbai,Paytm,"Series A",10000000,"Transportation and Logistics"
22/09/2015,Korra,"Private Label Apparel sales",nan,Delhi,"Asha Jadeja Motwani & Others","Seed Funding",300000,Fashion
23/09/2015,SilverPush,"Cross device retargeting platform",nan,"Gurugram / SFO","M&S Partners","Series A",1200000,Technology
23/09/2015,Juggernaut,"Digital & Physical Publishing platform",nan,Delhi,"William Bissell, Neeraj Aggarwal, Nandan Nilekani","Series A",2250000,Technology
23/09/2015,InnerChef,"Food Delivery Platform","Online food ordering platform",Delhi,"Phanindra Sama, Anupam Mittal, Vijay Shekhar Sharma, Vishal Gondal, Sateesh Andara & others","Pre Series A",1750000,"Food and Beverages"
24/09/2015,Quintype,"Data Driven Publishing platform",nan,Bangalore,"Raghav Bahl",Equity,3300000,Technology
24/09/2015,Capabiliti,"Employee OnBoarding & Orientation platform",nan,Noida,"500 Startups, Smile Multimedia, Kunal Bahl, Rohit Bansal, Girish Matrubootham","Seed Funding",400000,Technology
24/09/2015,FourthPartnerEnergy,"Solar Power Solutions company",nan,Hyderabad,"Infuse Ventures, The Chennai Angels","Series A",2000000,Sustainability
24/09/2015,Licious,"Online Meat Ordering platform","Online Meat And Seafood Ordering Startup",Bangalore,"Kanwaljit Singh, TV Mohandas Pai","Seed Funding",1000000,E-Commerce
28/09/2015,OlaCabs,"Cab Booking app platform",Cabs,Bangalore,"Didi Kuaidi","late Stage (part of $500M funding rnd)",30000000,"Transportation and Logistics"
29/09/2015,Paytm,"E Commerce & M Commerce platform","Mobile Wallet",Delhi,"Alibaba Group, Ant Financial","Late Stage (Alibaba @ 40% equity)",680000000,E-Commerce
29/09/2015,Inmobi,"Mobile Advertising platform",nan,Bangalore,"Tennenbaum Capital Partners & Others","Late Stage",100000000,"Advertisement and Marketing"
29/09/2015,Peppertap,"Hyperlocal Grocery Delivery",nan,Gurugram,"Sequoia India, SAIF Partners.","Series B",36000000,E-Commerce
29/09/2015,Zakoopi,"Fashion Discovery platform",nan,Delhi,"Uniqorn Ventures","Seed Funding",350000,Fashion
30/09/2015,Infoworks,"Big Data Management Platform",nan,"Bangalore / USA","Nexus Venture Partners, Knoll Ventures and others",Equity,5000000,Technology
30/09/2015,RedDoorz,"Budget Accommodation Platform",nan,Noida,"Jungle Ventures","Seed Funding",1000000,"Real Estate"
30/09/2015,EywaMedia,"Digital Signal processing platform",nan,Bangalore,"ah! Ventures, Viktor Koenig PE Fund, Mantra Ventures","Seed Funding",1000000,Technology
01/08/2015,Snapdeal,"Ecommerce Marketplace","Horizontal Online Marketplace",Delhi,"Alibaba, Foxconn, Softbank","Late Stage Round 7th (More details)",500000000,E-Commerce
01/08/2015,Ressy,"Restaurant Discount app",nan,Pune,"Mohandas Pai & others","Seed Funding",400000,"Food and Beverages"
03/08/2015,ConnectIndia,"ECommerce Logistics provider","Last mile Delivery Network",Delhi,Aavishkaar,"Series A",5000000,E-Commerce
03/08/2015,Oyorooms,"Budget Hotel accommodation brand","Budget Rooms",Delhi,"SoftBank Group, Greenoaks Capital, Sequoia Capital, Lightspeed India","Series B",100000000,Hospitality
03/08/2015,Wizrocket,"User Engagment & Analytics platform",nan,Mumbai,"Sequoia Capital, Accel Partners","Series B",9600000,Technology
04/08/2015,Pickingo,"On Demand Delivery Logistics",nan,Delhi,"Orios Venture Partners, Zishaan Hayath","Series A",1300000,"Transportation and Logistics"
05/08/2015,Grex,"fund raising platform for startups",nan,Pune,"Kunal Bajaj, Chandru Badrinarayanan","Seed Funding",650000,Technology
05/08/2015,LetsTransport,"Logistics Tech Platform","Book Trucks Online",Bangalore,"Rebright Partners, Ankush Nijhawan, Gaurav Bhatnagar, Manish Dhingra","Seed Funding",1300000,"Transportation and Logistics"
05/08/2015,ZoRooms,"Online budget hotel chain",nan,Delhi,"Tiger Global Management, Orios Venture Partners","Series A",30000000,Hospitality
05/08/2015,Doormint,"Hyperlocal Handyman services",nan,Mumbai,"Helion Venture Partners, Kalaari Capital","Series A",3000000,Services
05/08/2015,NightStay,"hotel booking app",nan,Noida,"BedRock Ventures, Rajesh Sawhney, Shailesh Singh","Seed Funding",500000,Hospitality
05/08/2015,SundayRealtySolutions,"Tech Platform for property brokers",nan,Mumbai,"Ramesh Jogani, Shailesh Viswanathan, Jay Srinivasan","Seed Funding",785000,"Real Estate"
06/08/2015,Appvigil,"App security testing platform",nan,Mumbai,"Ravi Gururaj, Gaurav Sharma, Viswanath Ramachandran, RippleWave","pre Series A",500000,Technology
06/08/2015,practo,"Doctor Appointment booking app","Online Healthcare platform",Bangalore,"Sofina, Google Capital, Altimeter Capital, Sequoia Capital Global Equities, Yuri Milner, Sequoia Capital, Matrix Partners","Series C",90000000,Healthcare
06/08/2015,Ketto,"Crowd funding platform",nan,Mumbai,"Chennai Angels, Calcutta Angels, ah! Ventures, Intellecap Impact Investment Network, Indus Age Partners, Singapore Angel Network, India Internet Fund, LetsVenture","Seed Funding",700000,Technology
06/08/2015,Ezetap,"Mobile based PoS solution","mPOS solutions provider",Bangalore,"Horizons Ventures, Capricorn Investment Group, Social+Capital, Helion Advisors, Berggruen Holdings","Series C",25000000,Technology
07/08/2015,CarlsJr,"Fast food Chain Franchisee",nan,Gurugram,"YouWeCan Ventures","Seed Funding",630000,"Food and Beverages"
07/08/2015,EasyRewardz,"Loyalty Programs & Reward Points",nan,Mumbai,"Wealth First, Ashneer Grover, Atul Phadnis","Pre Series A",500000,Other
10/08/2015,MyTaxiIndia,"Taxi Rental platform","Online Car rental booking platform",Gurugram,"Nihon Kotsu","Pre Series A",500000,"Transportation and Logistics"
10/08/2015,eSadar,ecommerce,nan,Delhi,"Neha Vats, Gaurav Vats","Seed Funding",80000,E-Commerce
10/08/2015,MyPoolin,"mobile social network",nan,Delhi,"QPrize from Qualcomm Ventures","QPrize Contest Winners",250000,Technology
10/08/2015,NearBuy(previouslygrouponIndia),"Hyper Local Ecommerce",nan,Delhi,"Sequoia Capital","Series A",16000000,E-Commerce
10/08/2015,Inkmonk,"Online printing marketplace","Online printing marketplace",Chennai,"Girish Mathrubootham, Phanindra Sama, Vikram Chachra, Others from LetsVenture","Seed Funding",250000,E-Commerce
10/08/2015,ToneTag,"mobile payment software platform","Mobile Payments Technology Platform",Bangalore,"Reliance Capital Venture","Series A",1000000,Technology
10/08/2015,GreyOrange,"Automated Storage & Warehousing Solution",nan,Gurugram,"Tiger Global Management","Series B",30000000,Automotive
11/08/2015,Livspace,"Home Design & D  solutions","Online portal for Home Design",Bangalore,"Helion Ventures, Jungle Ventures & Bessemer Venture Partners","Series A",8000000,"Real Estate"
11/08/2015,WOW!MOMO,"Quick Service Restaurant Chain",nan,Kolkata,"Indian Angel Network","Seed Funding",1600000,"Food and Beverages"
11/08/2015,RainCan,"Subscription based Online Grocery platform","Subscription based grocery delivery Mobile App",Pune,"Ajeet Khurana & Others","Seed Funding",100000,"Food and Beverages"
11/08/2015,AllygrowTechnologies,"engineering services company",nan,Mumbai,"Zodius Technology Fund","Series A",20000000,Services
11/08/2015,Infogain,"Business and IT consulting",nan,"Delhi / USA",ChrysCapital,Equity,63000000,Technology
12/08/2015,OneAssist,"Credit Card Fraud protection solutions",nan,Mumbai,"Sequoia Capital, Lightspeed Ventures","Series B",7500000,Finance
12/08/2015,BigBasket,"Online & mobile Grocery store","Online Grocery & Food Store",Bangalore,"Bessemer Venture Partners","Series C",50000000,E-Commerce
12/08/2015,Sheroes,"Career Community for Women","Online Job and Career Platform for Women",Noida,"Quintillion Media, 500 Startups","Seed Funding",770000,Other
12/08/2015,Scripbox,"Mutual Fund Investing platform",nan,Bangalore,"Accel Partners, Deep Kalra, Rajesh Magow, Mohit Gupta, Shamik Sharma","Series A",2500000,Technology
13/08/2015,etaout,"Ecommerce Marketing Software Platform",nan,Noida,"Amit Ranjan, Vijay Shekhar Sharma, Kunal Bahl, Girish Mathrubootham & Group of other Angel investors","Seed Funding",500000,"Advertisement and Marketing"
13/08/2015,IFMRHoldings,"Financial Inclusion platform",nan,Chennai,"Accion, LeapFrog Investments, Lok Capital","Series B",25000000,Finance
13/08/2015,Agrostar,"Mobile Commerce for Farmers","Direct to Farmer Mobile Based Retail platform",Pune,"IDG Ventures","Series A",4000000,E-Commerce
14/08/2015,VoxWeb,"Picture based Social App","Mobile based social networking platform",Mumbai,"Jitendra Gupta & others","Seed Funding",100000,Technology
14/08/2015,Trukky,"Logistics service platform","Online Truck Aggregator & Booking platform",Ahemdabad,"Gujarat based angel investors, MMY co-Founder","Seed Funding",245000,"Transportation and Logistics"
17/08/2015,Edu4Share,"Exam Preparation Platform",nan,Delhi,"Nalin Jain & other angel investors","Seed Funding",220000,Education
17/08/2015,Sampurnearth,"Waste Management Solutions",nan,Mumbai,"Intellecap Impact Investment Network, family office fund","Seed Funding",160000,Sustainability
17/08/2015,ShadowFax,"on demand delivery service",nan,Gurugram,"Kunal Bahl, Rohit Bansal, Zishaan Hayath, Prashant Malik","Seed Funding",310000,E-Commerce
18/08/2015,Roposo,"Fashion Discovery platform","Video Sharing",Gurugram,"Tiger Global","Series B",15000000,Fashion
